mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.0013505617777506511,4.2753148575823355e-06,0.0017120838165283203,8.66873691687481e-06,0.14968483807735003,0.903,"{'l1_ratio': 0.14968483807735003, 'alpha': 0.903}",0.8510697415948875,0.861893268972915,0.8120311197554877,0.8416647101077634,0.021414939397541962,9,37,0.8180829998908848
0.0013723373413085938,1.0306376766088229e-05,0.001688559850056966,5.402985614707798e-06,0.02591623580669949,0.17300000000000001,"{'l1_ratio': 0.02591623580669949, 'alpha': 0.17300000000000001}",0.8402333981661572,0.8612228479485117,0.815643234231731,0.8390331601154667,0.018627143727662217,60,37,0.8402092160340882
0.0013521512349446614,1.2665889621185643e-06,0.0017047723134358723,7.418696740541435e-06,0.021344379011786027,0.189,"{'l1_ratio': 0.021344379011786027, 'alpha': 0.189}",0.8400944706863017,0.8613569321533923,0.8157821617115866,0.8390778548504269,0.018619703829082693,57,37,0.8402277981883688
0.0013666152954101562,1.9463875228252943e-05,0.001680612564086914,8.485379419351666e-07,0.017579038823261565,0.275,"{'l1_ratio': 0.017579038823261565, 'alpha': 0.275}",0.8399555432064462,0.860686511128989,0.8157821617115865,0.8388080720156738,0.018350071148822714,82,37,0.8401465568053454
0.0013461907704671223,6.659616999669591e-06,0.0016817251841227214,1.4939206616095456e-05,0.11662912394208903,0.04,"{'l1_ratio': 0.11662912394208903, 'alpha': 0.04}",0.8400944706863017,0.8609546795387503,0.81536537927202,0.8388048431656907,0.018634080409453368,84,37,0.8401016443272072
0.001371145248413086,1.046872062687881e-05,0.0017042160034179688,2.5142329115353633e-05,0.002022001804377659,0.326,"{'l1_ratio': 0.002022001804377659, 'alpha': 0.326}",0.8398166157265907,0.8616251005631537,0.8155043067518755,0.83898200768054,0.018837981728209083,69,37,0.8402649658607824
0.0013541380564371746,2.044785869958974e-06,0.0016964276631673176,1.7154359897908583e-05,0.0034005881378753947,0.064,"{'l1_ratio': 0.0034005881378753947, 'alpha': 0.064}",0.8406501806057237,0.8602842585143471,0.8166157265907197,0.8391833885702634,0.017857748630919924,43,37,0.8402579747782628
0.0013465086619059246,8.775905458752725e-06,0.001680294672648112,1.5066763129098145e-05,0.016862941195380652,0.779,"{'l1_ratio': 0.016862941195380652, 'alpha': 0.779}",0.8410669630452903,0.8608205953338697,0.8155043067518756,0.8391306217103452,0.01855089514526105,49,37,0.8399646574781142
0.0013443628946940105,5.673271273795683e-06,0.0016862551371256511,9.014478644338759e-06,0.12413656192961667,0.318,"{'l1_ratio': 0.12413656192961667, 'alpha': 0.318}",0.8441233676021116,0.8602842585143471,0.8159210891914421,0.8401095717693003,0.018332223284584698,26,37,0.8390977969944854
0.0013627211252848308,8.195343638418047e-06,0.0016925334930419922,2.0064024829835172e-05,0.004044003608755258,0.711,"{'l1_ratio': 0.004044003608755258, 'alpha': 0.711}",0.8405112531258682,0.861088763743631,0.815643234231731,0.83908108370041,0.018580600575033066,55,37,0.8402587268650116
0.0013464291890462239,5.716524285747033e-06,0.0016867319742838542,6.329952161070466e-06,0.3275983509645502,0.323,"{'l1_ratio': 0.3275983509645502, 'alpha': 0.323}",0.8500972492358988,0.8616251005631536,0.8132814670741872,0.8416679389577465,0.020616606228198647,8,37,0.8324567332622823
